Player,G,MP,FG%,3P%,eFG%,TRB,AST,STL,BLK,PTS
Precious Achiuwa\achiupr01,61,12.1,.544,.000,.544,3.4,0.5,0.3,0.5,5.0
Jaylen Adams\adamsja01,7,2.6,.125,.000,.125,0.4,0.3,0.0,0.0,0.3
Steven Adams\adamsst01,58,27.7,.614,.000,.614,8.9,1.9,0.9,0.7,7.6
Bam Adebayo\adebaba01,64,33.5,.570,.250,.571,9.0,5.4,1.2,1.0,18.7
LaMarcus Aldridge\aldrila01,26,25.9,.473,.388,.525,4.5,1.9,0.4,1.1,13.5
LaMarcus Aldridge\aldrila01,21,25.9,.464,.360,.518,4.5,1.7,0.4,0.9,13.7
LaMarcus Aldridge\aldrila01,5,26.0,.521,.800,.563,4.8,2.6,0.6,2.2,12.8
Ty-Shon Alexander\alexaty01,15,3.1,.250,.222,.333,0.7,0.4,0.0,0.1,0.6
Nickeil Alexander-Walker\alexani01,46,21.9,.419,.347,.502,3.1,2.2,1.0,0.5,11.0
Grayson Allen\allengr01,50,25.2,.418,.391,.547,3.2,2.2,0.9,0.2,10.6
Jarrett Allen\allenja01,63,29.6,.618,.316,.624,10.0,1.7,0.5,1.4,12.8
Jarrett Allen\allenja01,12,26.7,.677,,.677,10.4,1.7,0.6,1.6,11.2
Jarrett Allen\allenja01,51,30.3,.609,.316,.616,9.9,1.7,0.5,1.4,13.2
Al-Farouq Aminu\aminual01,23,18.9,.384,.216,.424,4.8,1.3,0.8,0.4,4.4
Al-Farouq Aminu\aminual01,17,21.6,.404,.226,.444,5.4,1.7,1.0,0.5,5.5
Al-Farouq Aminu\aminual01,6,11.2,.200,.167,.250,3.2,0.3,0.3,0.0,1.5
Kyle Anderson\anderky01,69,27.3,.468,.360,.540,5.7,3.6,1.2,0.8,12.4
Giannis Antetokounmpo\antetgi01,61,33.0,.569,.303,.600,11.0,5.9,1.2,1.2,28.1
Kostas Antetokounmpo\antetko01,15,3.7,.300,,.300,1.3,0.1,0.1,0.3,0.8
Thanasis Antetokounmpo\antetth01,57,9.7,.489,.241,.515,2.2,0.8,0.4,0.2,2.9
Carmelo Anthony\anthoca01,69,24.5,.421,.409,.506,3.1,1.5,0.7,0.6,13.4
Cole Anthony\anthoco01,47,27.1,.397,.337,.449,4.7,4.1,0.6,0.4,12.9
OG Anunoby\anunoog01,43,33.3,.480,.398,.580,5.5,2.2,1.5,0.7,15.9
Ryan Arcidiacono\arcidry01,44,10.2,.419,.373,.526,1.5,1.3,0.2,0.0,3.1
Trevor Ariza\arizatr01,30,28.0,.411,.350,.515,4.8,1.8,1.0,0.6,9.4
D.J. Augustin\augusdj01,57,19.8,.394,.382,.515,1.6,3.3,0.5,0.0,7.7
D.J. Augustin\augusdj01,37,19.3,.370,.380,.497,1.4,3.0,0.5,0.0,6.1
D.J. Augustin\augusdj01,20,20.8,.424,.386,.536,2.2,3.9,0.4,0.0,10.6
Deni Avdija\avdijde01,54,23.3,.417,.315,.502,4.9,1.2,0.6,0.3,6.3
Deandre Ayton\aytonde01,69,30.7,.626,.200,.629,10.5,1.4,0.6,1.2,14.4
Udoka Azubuike\azubuud01,15,3.8,.444,,.444,0.9,0.0,0.1,0.3,1.1
Dwayne Bacon\bacondw01,72,25.7,.402,.285,.443,3.1,1.3,0.6,0.1,10.9
Marvin Bagley III\baglema01,43,25.9,.504,.343,.542,7.4,1.0,0.5,0.5,14.1
LaMelo Ball\ballla01,51,28.8,.436,.352,.504,5.9,6.1,1.6,0.4,15.7
Lonzo Ball\balllo01,55,31.8,.414,.378,.537,4.8,5.7,1.5,0.6,14.6
Mo Bamba\bambamo01,46,15.8,.472,.322,.535,5.8,0.8,0.3,1.3,8.0
Desmond Bane\banede01,68,22.3,.469,.432,.586,3.1,1.7,0.6,0.2,9.2
Harrison Barnes\barneha02,58,36.2,.497,.391,.575,6.6,3.5,0.7,0.2,16.1
RJ Barrett\barrerj01,72,34.9,.441,.401,.499,5.8,3.0,0.7,0.3,17.6
Will Barton\bartowi01,56,31.0,.426,.381,.507,4.0,3.2,0.9,0.4,12.7
Keita Bates-Diop\bateske01,30,8.2,.448,.294,.485,1.6,0.4,0.4,0.2,2.6
Nicolas Batum\batumni01,67,27.4,.464,.404,.597,4.7,2.2,1.0,0.6,8.1
Aron Baynes\baynear01,53,18.5,.441,.262,.485,5.2,0.9,0.3,0.4,6.1
Kent Bazemore\bazemke01,67,19.9,.449,.408,.545,3.4,1.6,1.0,0.5,7.2
Darius Bazley\bazleda01,55,31.2,.396,.290,.456,7.2,1.8,0.5,0.5,13.7
Bradley Beal\bealbr01,60,35.8,.485,.349,.532,4.7,4.4,1.2,0.4,31.3
Malik Beasley\beaslma01,37,32.8,.440,.399,.547,4.4,2.4,0.8,0.2,19.6
Jordan Bell\belljo01,6,13.7,.318,.000,.318,4.0,1.2,0.5,0.8,2.5
Jordan Bell\belljo01,5,13.4,.350,.000,.350,3.8,1.0,0.6,0.6,2.8
Jordan Bell\belljo01,1,15.0,.000,,.000,5.0,2.0,0.0,2.0,1.0
DeAndre' Bembry\bembrde01,51,19.1,.513,.264,.544,2.9,2.1,1.0,0.4,5.7
Dāvis Bertāns\bertada01,57,25.7,.404,.395,.581,2.9,0.9,0.6,0.2,11.5
Patrick Beverley\beverpa01,37,22.5,.423,.397,.550,3.2,2.1,0.8,0.8,7.5
Saddiq Bey\beysa01,70,27.3,.404,.380,.530,4.5,1.4,0.7,0.2,12.2
Tyler Bey\beyty01,18,3.9,.318,.250,.341,1.1,0.2,0.0,0.1,1.0
Khem Birch\birchkh01,67,22.8,.497,.250,.514,5.8,1.3,0.7,0.7,7.2
Khem Birch\birchkh01,48,19.8,.450,.190,.459,5.1,1.1,0.7,0.6,5.3
Khem Birch\birchkh01,19,30.4,.556,.290,.582,7.6,1.9,0.8,1.2,11.9
Goga Bitadze\bitadgo01,45,12.5,.428,.253,.479,3.3,0.8,0.2,1.3,5.1
Bismack Biyombo\biyombi01,66,20.4,.587,.000,.587,5.3,1.2,0.3,1.1,5.0
Nemanja Bjelica\bjeline01,37,16.1,.454,.318,.523,3.4,1.9,0.4,0.1,6.5
Nemanja Bjelica\bjeline01,26,16.9,.460,.293,.517,3.8,1.9,0.3,0.1,7.2
Nemanja Bjelica\bjeline01,11,14.2,.435,.370,.543,2.5,1.8,0.6,0.3,5.0
Eric Bledsoe\bledser01,71,29.7,.421,.341,.503,3.4,3.8,0.8,0.3,12.2
Keljin Blevins\blevike01,17,4.4,.250,.250,.300,0.6,0.2,0.1,0.0,0.7
Bogdan Bogdanović\bogdabo01,44,29.7,.473,.438,.602,3.6,3.3,1.1,0.3,16.4
Bojan Bogdanović\bogdabo02,72,30.8,.439,.390,.536,3.9,1.9,0.6,0.1,17.0
Bol Bol\bolbo01,32,5.0,.431,.375,.509,0.8,0.2,0.1,0.3,2.2
Marques Bolden\boldema01,6,4.8,.333,,.333,1.0,0.0,0.3,0.3,1.2
Jordan Bone\bonejo01,14,14.0,.426,.313,.519,1.7,1.3,0.1,0.0,4.0
Isaac Bonga\bongais01,40,10.8,.370,.277,.451,1.7,0.6,0.3,0.2,2.0
Devin Booker\bookede01,67,33.9,.484,.340,.533,4.2,4.3,0.8,0.2,25.6
Chris Boucher\bouchch01,60,24.2,.514,.383,.595,6.7,1.1,0.6,1.9,13.6
Brian Bowen\bowenbr02,6,2.5,.250,.000,.250,0.5,0.0,0.0,0.0,0.5
Avery Bradley\bradlav01,27,22.3,.374,.327,.471,2.1,1.7,0.8,0.1,6.4
Avery Bradley\bradlav01,10,21.1,.470,.421,.591,1.8,1.4,0.7,0.1,8.5
Avery Bradley\bradlav01,17,23.0,.314,.270,.395,2.3,1.9,0.8,0.1,5.2
Tony Bradley\bradlto01,42,16.3,.665,.000,.665,5.7,0.9,0.4,0.7,7.1
Tony Bradley\bradlto01,20,14.4,.680,.000,.680,5.2,0.9,0.3,0.7,5.5
Tony Bradley\bradlto01,22,18.0,.656,.000,.656,6.1,0.9,0.4,0.8,8.7
Jarrell Brantley\brantja01,28,4.9,.481,.429,.596,1.0,0.5,0.3,0.1,2.3
Ignas Brazdeikis\brazdig01,13,19.2,.422,.393,.488,3.5,1.3,0.3,0.2,7.0
Ignas Brazdeikis\brazdig01,4,1.8,.000,,.000,0.5,0.3,0.0,0.0,0.5
Ignas Brazdeikis\brazdig01,1,8.0,.000,.000,.000,2.0,0.0,0.0,0.0,0.0
Ignas Brazdeikis\brazdig01,8,29.3,.443,.407,.513,5.1,2.0,0.5,0.4,11.1
Mikal Bridges\bridgmi01,72,32.6,.543,.425,.643,4.3,2.1,1.1,0.9,13.5
Miles Bridges\bridgmi02,66,29.3,.503,.400,.596,6.0,2.2,0.7,0.8,12.7
Amida Brimah\brimaam01,5,5.8,.625,,.625,1.6,0.2,0.0,1.0,2.6
Oshae Brissett\brissos01,21,24.7,.483,.423,.593,5.5,0.9,0.9,1.0,10.9
Malcolm Brogdon\brogdma01,56,34.5,.453,.388,.527,5.3,5.9,0.9,0.3,21.2
Armoni Brooks\brookar01,20,26.0,.406,.382,.563,3.4,1.5,0.6,0.3,11.2
Dillon Brooks\brookdi01,67,29.8,.419,.344,.481,2.9,2.3,1.2,0.4,17.2
Bruce Brown\brownbr01,65,22.3,.556,.288,.576,5.4,1.6,0.9,0.4,8.8
Charlie Brown Jr.\brownch02,9,16.9,.302,.238,.360,1.9,1.0,0.4,0.2,4.4
Jaylen Brown\brownja02,58,34.5,.484,.397,.558,6.0,3.4,1.2,0.6,24.7
Moses Brown\brownmo01,43,21.4,.545,,.545,8.9,0.2,0.7,1.1,8.6
Sterling Brown\brownst02,51,24.1,.448,.423,.584,4.4,1.4,0.7,0.2,8.2
Troy Brown Jr.\browntr01,34,15.4,.431,.314,.507,3.1,0.9,0.3,0.2,4.7
Troy Brown Jr.\browntr01,21,13.7,.371,.304,.449,2.9,0.9,0.1,0.2,4.3
Troy Brown Jr.\browntr01,13,18.2,.527,.333,.600,3.4,0.8,0.5,0.2,5.5
Jalen Brunson\brunsja01,68,25.0,.523,.405,.588,3.4,3.5,0.5,0.0,12.6
Elijah Bryant\bryanel01,1,32.0,.462,.200,.500,6.0,3.0,0.0,1.0,16.0
Thomas Bryant\bryanth01,10,27.1,.648,.429,.698,6.1,1.5,0.4,0.8,14.3
Reggie Bullock\bullore01,65,30.0,.442,.410,.587,3.4,1.5,0.8,0.2,10.9
Trey Burke\burketr01,62,14.7,.428,.354,.510,0.9,1.3,0.6,0.1,6.6
Alec Burks\burksal01,49,25.6,.420,.415,.522,4.6,2.2,0.6,0.3,12.7
Jimmy Butler\butleji01,52,33.6,.497,.245,.514,6.9,7.1,2.1,0.3,21.5
Bruno Caboclo\cabocbr01,6,6.0,.471,.000,.471,2.3,0.2,0.0,0.3,2.8
Devontae Cacok\cacokde01,20,4.9,.586,,.586,1.6,0.1,0.3,0.2,2.0
Kentavious Caldwell-Pope\caldwke01,67,28.4,.431,.410,.549,2.7,1.9,0.9,0.4,9.7
Facundo Campazzo\campafa01,65,21.9,.381,.352,.502,2.1,3.6,1.2,0.2,6.1
Vlatko Čančar\cancavl01,41,6.9,.458,.273,.521,1.2,0.3,0.3,0.0,2.1
Devin Cannady\cannade01,8,9.3,.393,.375,.500,0.6,0.1,0.6,0.1,4.3
Clint Capela\capelca01,63,30.1,.594,,.594,14.3,0.8,0.7,2.0,15.2
Vernon Carey Jr.\careyve01,19,6.1,.500,.143,.514,1.4,0.1,0.1,0.3,2.4
Jevon Carter\carteje01,60,12.0,.422,.371,.547,1.5,1.2,0.5,0.2,4.1
Wendell Carter Jr.\cartewe01,54,25.5,.503,.294,.520,8.2,1.9,0.6,0.8,11.2
Wendell Carter Jr.\cartewe01,32,24.8,.512,.364,.528,7.8,2.2,0.6,0.8,10.9
Wendell Carter Jr.\cartewe01,22,26.5,.493,.241,.510,8.8,1.6,0.8,0.8,11.7
Michael Carter-Williams\cartemi01,31,25.8,.389,.246,.417,4.5,4.2,0.8,0.5,8.8
Alex Caruso\carusal01,58,21.0,.436,.401,.526,2.9,2.8,1.1,0.3,6.4
Willie Cauley-Stein\caulewi01,53,17.1,.632,.091,.635,4.5,0.7,0.4,0.8,5.3
Chris Chiozza\chiozch01,22,10.5,.352,.310,.426,1.1,3.0,0.3,0.3,4.0
Marquese Chriss\chrisma01,2,13.5,.357,.200,.393,6.5,1.0,0.0,1.0,6.5
Gary Clark\clarkga01,39,16.8,.303,.287,.420,2.9,0.8,0.3,0.2,3.1
Gary Clark\clarkga01,35,18.2,.305,.287,.424,3.2,0.9,0.3,0.2,3.4
Gary Clark\clarkga01,2,2.0,,,,0.5,0.0,0.0,0.0,0.0
Gary Clark\clarkga01,2,6.5,.000,,.000,1.0,0.5,0.5,0.0,0.0
Brandon Clarke\clarkbr01,59,24.0,.517,.260,.537,5.6,1.6,1.0,0.9,10.3
Jordan Clarkson\clarkjo01,68,26.7,.425,.347,.522,4.0,2.5,0.9,0.1,18.4
Nic Claxton\claxtni01,32,18.6,.621,.200,.624,5.2,0.9,0.7,1.3,6.6
Amir Coffey\coffeam01,44,9.0,.437,.411,.549,1.0,0.5,0.2,0.0,3.2
John Collins\collijo01,63,29.3,.556,.399,.610,7.4,1.2,0.5,1.0,17.6
Mike Conley\conlemi01,51,29.4,.444,.412,.552,3.5,6.0,1.4,0.2,16.2
Pat Connaughton\connapa01,69,22.8,.434,.371,.565,4.8,1.2,0.7,0.3,6.8
Quinn Cook\cookqu01,23,6.8,.426,.423,.507,0.7,0.8,0.2,0.0,3.3
Quinn Cook\cookqu01,16,3.9,.462,.385,.558,0.3,0.3,0.1,0.1,2.1
Quinn Cook\cookqu01,7,13.6,.405,.462,.476,1.7,1.9,0.4,0.0,6.1
Tyler Cook\cookty01,32,13.7,.670,.500,.675,3.0,0.5,0.3,0.1,4.9
Tyler Cook\cookty01,4,4.3,.333,,.333,0.5,0.5,0.0,0.0,0.5
Tyler Cook\cookty01,28,15.0,.680,.500,.685,3.3,0.5,0.3,0.1,5.5
DeMarcus Cousins\couside01,41,17.4,.426,.348,.503,6.4,1.9,0.8,0.6,8.9
DeMarcus Cousins\couside01,25,20.2,.376,.336,.469,7.6,2.4,0.8,0.7,9.6
DeMarcus Cousins\couside01,16,12.9,.537,.421,.579,4.5,1.0,0.8,0.4,7.8
Robert Covington\covinro01,70,32.0,.401,.379,.533,6.7,1.7,1.4,1.2,8.5
Torrey Craig\craigto01,50,16.1,.480,.368,.566,3.9,1.0,0.6,0.5,5.5
Torrey Craig\craigto01,18,11.2,.391,.364,.478,2.4,0.9,0.5,0.4,2.5
Torrey Craig\craigto01,32,18.8,.503,.369,.588,4.8,1.0,0.6,0.6,7.2
Jae Crowder\crowdja01,60,27.5,.404,.389,.555,4.7,2.1,0.8,0.5,10.1
Jarrett Culver\culveja01,34,14.7,.411,.245,.449,3.1,0.7,0.5,0.3,5.3
Seth Curry\curryse01,57,28.7,.467,.450,.582,2.4,2.7,0.8,0.1,12.5
Stephen Curry\curryst01,63,34.2,.482,.421,.605,5.5,5.8,1.2,0.1,32.0
Nate Darling\darlina01,7,3.7,.286,.286,.429,0.1,0.1,0.0,0.1,1.3
Anthony Davis\davisan02,36,32.3,.491,.260,.512,7.9,3.1,1.3,1.6,21.8
Ed Davis\davised01,23,13.0,.432,,.432,5.0,0.9,0.6,0.6,2.1
Terence Davis\daviste02,61,17.6,.428,.367,.535,2.5,1.4,0.7,0.2,8.7
Terence Davis\daviste02,34,14.5,.414,.361,.519,1.9,1.1,0.5,0.2,6.9
Terence Davis\daviste02,27,21.5,.439,.372,.549,3.3,1.7,1.0,0.3,11.1
Gabriel Deck\deckga01,10,21.2,.478,.133,.493,4.0,2.4,0.8,0.0,8.4
Dewayne Dedmon\dedmode01,16,13.1,.708,.200,.715,5.4,0.8,0.6,0.4,7.1
Matthew Dellavedova\dellama01,13,17.2,.250,.160,.286,1.8,4.5,0.3,0.1,2.8
DeMar DeRozan\derozde01,61,33.7,.495,.257,.505,4.2,6.9,0.9,0.2,21.6
Mamadi Diakite\diakima01,14,10.1,.400,.125,.413,2.4,0.6,0.5,0.4,3.1
Hamidou Diallo\diallha01,52,23.6,.477,.341,.506,5.2,1.9,0.8,0.5,11.6
Hamidou Diallo\diallha01,32,23.8,.481,.293,.502,5.2,2.4,1.0,0.4,11.9
Hamidou Diallo\diallha01,20,23.3,.468,.390,.514,5.4,1.2,0.5,0.6,11.2
Gorgui Dieng\dienggo01,38,14.5,.521,.429,.613,3.7,1.3,0.7,0.4,6.8
Gorgui Dieng\dienggo01,22,16.9,.519,.479,.625,4.5,1.3,0.8,0.6,7.9
Gorgui Dieng\dienggo01,16,11.3,.527,.318,.591,2.6,1.2,0.6,0.1,5.3
Spencer Dinwiddie\dinwisp01,3,21.3,.375,.286,.438,4.3,3.0,0.7,0.3,6.7
Donte DiVincenzo\divindo01,66,27.5,.420,.379,.528,5.8,3.1,1.1,0.2,10.4
Luka Dončić\doncilu01,66,34.3,.479,.350,.550,8.0,8.6,1.0,0.5,27.7
Luguentz Dort\dortlu01,52,29.7,.387,.343,.475,3.6,1.7,0.9,0.4,14.0
Damyean Dotson\dotsoda01,46,19.7,.406,.289,.485,2.0,2.0,0.3,0.1,6.7
Devon Dotson\dotsode01,11,4.5,.524,.143,.548,0.5,0.6,0.4,0.0,2.1
Sekou Doumbouya\doumbse01,56,15.5,.379,.226,.426,2.6,0.8,0.4,0.2,5.1
PJ Dozier\doziepj01,50,21.8,.417,.315,.483,3.6,1.8,0.6,0.4,7.7
Goran Dragić\dragigo01,50,26.7,.432,.373,.514,3.4,4.4,0.7,0.2,13.4
Andre Drummond\drumman01,46,27.0,.493,.000,.493,12.0,2.0,1.4,1.1,14.9
Andre Drummond\drumman01,25,28.9,.474,.000,.474,13.5,2.6,1.6,1.2,17.5
Andre Drummond\drumman01,21,24.8,.531,,.531,10.2,1.4,1.1,1.0,11.9
Jared Dudley\dudleja01,12,6.8,.222,.333,.333,1.8,0.4,0.1,0.1,0.5
Kris Dunn\dunnkr01,4,11.3,.083,.000,.083,1.5,0.5,0.5,0.5,1.3
Kevin Durant\duranke01,35,33.1,.537,.450,.608,7.1,5.6,0.7,1.3,26.9
Anthony Edwards\edwaran01,72,32.1,.417,.329,.488,4.7,2.9,1.1,0.5,19.3
Carsen Edwards\edwarca01,31,8.9,.423,.286,.505,0.8,0.5,0.2,0.0,4.0
CJ Elleby\ellebcj01,30,6.4,.379,.206,.432,1.1,0.3,0.2,0.1,2.3
Henry Ellenson\ellenhe01,2,19.0,.357,.222,.429,6.0,2.5,0.0,0.0,7.5
Wayne Ellington\ellinwa01,46,22.0,.441,.422,.612,1.8,1.5,0.4,0.2,9.6
Joel Embiid\embiijo01,51,31.1,.513,.377,.545,10.6,2.8,1.0,1.4,28.5
James Ennis III\ennisja01,41,24.0,.473,.433,.566,4.0,1.5,0.8,0.2,8.4
Drew Eubanks\eubandr01,54,14.0,.566,1.000,.571,4.5,0.8,0.3,0.9,5.8
Dante Exum\exumda01,6,19.3,.385,.182,.423,2.8,2.2,0.7,0.3,3.8
Tacko Fall\fallta01,19,7.2,.724,,.724,2.7,0.2,0.1,1.1,2.5
Derrick Favors\favorde01,68,15.3,.638,.000,.638,5.5,0.6,0.5,1.0,5.4
Cristiano Felício\feliccr01,18,4.7,.538,.000,.538,1.4,0.5,0.2,0.0,1.3
Terrance Ferguson\fergute01,13,3.8,.143,.000,.143,0.1,0.2,0.1,0.0,0.2
Bruno Fernando\fernabr01,33,6.8,.409,.000,.409,2.4,0.3,0.1,0.1,1.5
Yogi Ferrell\ferreyo01,10,13.6,.351,.321,.430,1.9,2.2,0.7,0.3,5.6
Yogi Ferrell\ferreyo01,2,20.0,.381,.333,.452,3.5,2.5,1.5,0.5,9.5
Yogi Ferrell\ferreyo01,8,12.0,.333,.316,.417,1.5,2.1,0.5,0.3,4.6
Dorian Finney-Smith\finnedo01,60,32.0,.472,.394,.600,5.4,1.7,0.9,0.4,9.8
Malik Fitts\fittsma01,3,3.7,.333,.500,.500,1.0,0.0,0.0,0.0,1.0
Malachi Flynn\flynnma01,47,19.7,.374,.321,.453,2.5,2.9,0.8,0.1,7.5
Bryn Forbes\forbebr01,70,19.3,.473,.452,.618,1.6,0.6,0.3,0.0,10.0
Trent Forrest\forretr01,30,10.1,.451,.192,.486,1.5,1.5,0.3,0.1,2.9
Evan Fournier\fournev01,42,30.0,.457,.413,.565,3.0,3.4,1.1,0.5,17.1
Evan Fournier\fournev01,26,30.3,.461,.388,.560,2.9,3.7,1.0,0.3,19.7
Evan Fournier\fournev01,16,29.5,.448,.463,.576,3.3,3.1,1.3,0.6,13.0
De'Aaron Fox\foxde01,58,35.1,.477,.322,.523,3.5,7.2,1.5,0.5,25.2
Robert Franks\frankro01,7,14.4,.464,.333,.554,2.0,0.7,0.4,0.4,6.1
Tim Frazier\fraziti01,5,12.4,.150,.000,.150,1.6,3.2,0.4,0.2,1.6
Enes Freedom\kanteen01,72,24.4,.604,.250,.605,11.0,1.2,0.5,0.7,11.2
Markelle Fultz\fultzma01,8,26.9,.394,.250,.413,3.1,5.4,1.0,0.3,12.9
Wenyen Gabriel\gabriwe01,21,11.5,.400,.406,.508,2.6,0.5,0.4,0.4,3.4
Daniel Gafford\gaffoda01,54,14.6,.684,,.684,4.3,0.5,0.5,1.4,7.0
Daniel Gafford\gaffoda01,31,12.4,.690,,.690,3.3,0.5,0.4,1.1,4.7
Daniel Gafford\gaffoda01,23,17.7,.681,,.681,5.6,0.5,0.7,1.8,10.1
Danilo Gallinari\gallida01,51,24.0,.434,.406,.542,4.1,1.5,0.6,0.2,13.3
Langston Galloway\gallola01,40,11.0,.449,.424,.571,1.1,0.7,0.2,0.0,4.8
Darius Garland\garlada01,54,33.1,.451,.395,.517,2.4,6.1,1.2,0.1,17.4
Marc Gasol\gasolma01,52,19.1,.454,.410,.582,4.1,2.1,0.5,1.1,5.0
Rudy Gay\gayru01,63,21.6,.420,.381,.505,4.8,1.4,0.7,0.6,11.4
Paul George\georgpa01,54,33.7,.467,.411,.557,6.6,5.2,1.1,0.4,23.3
Taj Gibson\gibsota01,45,20.8,.627,.200,.636,5.6,0.8,0.7,1.1,5.4
Harry Giles\gilesha01,38,9.2,.433,.348,.474,3.5,0.8,0.2,0.3,2.8
Shai Gilgeous-Alexander\gilgesh01,35,33.7,.508,.418,.571,4.7,5.9,0.8,0.7,23.7
Anthony Gill\gillan01,26,8.4,.500,.292,.558,2.0,0.4,0.4,0.2,3.1
Freddie Gillespie\gillefr01,20,19.6,.524,,.524,4.9,0.5,0.7,1.0,5.6
Rudy Gobert\goberru01,71,30.8,.675,.000,.675,13.5,1.3,0.6,2.7,14.3
Brandon Goodwin\goodwbr01,47,13.2,.377,.311,.448,1.5,2.0,0.4,0.0,4.9
Aaron Gordon\gordoaa01,50,27.7,.463,.335,.522,5.7,3.2,0.7,0.7,12.4
Aaron Gordon\gordoaa01,25,29.4,.437,.375,.509,6.6,4.2,0.6,0.8,14.6
Aaron Gordon\gordoaa01,25,25.9,.500,.266,.541,4.7,2.2,0.7,0.6,10.2
